Name,Published On,Description,Publisher,Url
A Complete Copper Optimization Technique Using BB-BC in a Smart home for a Smarter grid and A Comparison with GA,"May 8, 2011","Optimizing the use of copper especially in the distribution system not only reduces the cost but more importantly lowers the copper losses. This paper presents a unique innovative technique which reduces copper volume while enabling home automation. This model of smart home is designed to provide a base for Smart Grid’s functions like demand side management, AMR, load shedding etc. The optimization problem is solved with a Big Bang-Big Crunch algorithm inspired from Big Bang Theory and the results obtained are compared with adapted Genetic algorithm to demonstrate the efficiency of BBBC.",,
A Big Bang Big Crunch Algorithm (BBBC) for Economic Dispatch with Network Losses and Dynamic Constraints,"Jan 10, 2011","The paper puts forward a novel approach to the Economic Load Dispatch problem with network losses using Big Bang Big Crunch (BBBC) optimization technique. Nature Inspired Algorithms (NIA), a new expansion in Computational Intelligence (CI), has proved to be an excellent surrogate for the conventional techniques and is found to robust, computationally superior and stable. Here, an attempt is made to solve the Economic Dispatch problem and the outcome are compared with diverse contemporary techniques like Artificial Bee Colony (ABC), Music Based Harmony Search (MBHS), Genetic Algorithm (GA), Particle Swarm Optimization (PSO) etc to prove the superiority and validated on various test systems like 6 generator system and 20 unit system and its found that BBBC has an excellent option for any optimization problem.",National Conference on Machines and Power System,
A Improved Artificial fish Swarming Optimization for Economic Load Dispatch with Dynamic Constraints,,,Springer Journal on Advances in Soft computing and Artificial Intelligence,
An Innovative Ultrasonic Motor for Efficiency Improvement,,,"Symposium on Piezoelectricity , Acoustic Waves , Device Applications",
A Smart Meter Architecture in Indian Context,,,11th International Conference on Environment and Electrical Engineering,
Efficiency improvement of Solar PV panels by active cooling,,,11th International Conference on Environment and Electrical Engineering,
