timeRegistered,applicationId,mobileDeviceType,mobileModel
2015/11/08 17:03:41 UTC,com.linkedin.android,android,Xiaomi_MI 4W
2015/06/11 05:42:41 UTC,com.linkedin.android,android,asus_Nexus 7
2015/06/11 05:42:41 UTC,com.linkedin.android,android,Xiaomi_HM 1SW
