Company Name,Title,Description,Location,Started On,Finished On
SupervisedLearning.com, CEO & Super Learner,"The 'super' most form of learning is by  mentoring other passionate learners. As a part of this role, I mentor - industry folks who are looking for seamless career transition into Data Science.  Some of my work includes.   1. Designed a 500 hour long course - End to End Data Science - trained 300 students so far in Data Science through this program - course content includes slides, theory, practice assignments and solved use cases - www.supervisedlearning.com/endtoendDS 2. Designed 100 hour long course in Natural Language Processing (NLP) - One of its own kind in India - a depth as well breadth covering course covering 7 modules from Classical NLP to Deep Learning for NLP - www.supervisedlearning.com/nlp100hours","Hyderabad Area, India",Jun 2018,
The Positive India,Founder & CEO,"      We at The Positive India are fed up with negative news being shoved down our throats by the mainstream media. So we started this website with a philosophy -  “Every day, in this world 1000 bad things occur and 1000 good things occur. Instead of focusing on 1000 bad, we decided to focus on 1000 good things.”.  Positive perspective promotes and propagates peace, prosperity, patriotism and plenty other pleasant things. My work here includes 1. Writing articles  2. Evangelising postivity    ","Hyderabad Area, India",Sep 2015,
Lakeer,Data Science Consultant,"Lakeer is a Cisco & N/Core-incubated civic-tech organization which builds and deploys open-source geospatial decision-support systems for city administrators. Our award-winning flagship product CitySight helps administrators deploy resources in a more citizen-centric and impactful way across multiple quality of life issues such as mobility, poverty alleviation, and climate change resilience. My work here includes technical advisory on projects, tools and strategy. ","Hyderabad Area, India",Feb 2019,Aug 2019
GradValley Data Science,"Program Director, PGP in Data Science","At Gradvalley, my first assignment was to develop an extensive 800 hour long PG program for Data Science. The curriculum is intensive with a heavy focus on hands-on training. It consisted of 13 courses.    The second assignment included the creation of an NLP course which is almost 60 hours long. It was the most challenging curriculum, I have ever designed. The course is unique due to a balanced emphasis on theory and hands-on, statistical NLP and ML-based NLP, business world and tech depth. ","Hyderabad Area, India",Jul 2018,Nov 2018
Perceptive Analytics,Data Scientist - Team Lead,Perceptive works for clients which has problems which can be solved with Advanced analytics. Some of the major projects include 1. Optimisation applied to FMCG discounting strategy to optimally allow discounts 2. Next basket/ products recommendation for a retail client 3. Predicting Invoice delayed payments for a major health products company 4. Predicting customer churn for leading music streaming subscription service. ,"Hyderabad Area, India",May 2017,May 2018
Future SEEDS,Research Engineer and Co Founder,"Future SEEDS name was inspired by farmers who live a more sustainable life. Our seeds were ideas to make, the community a better place to live in. The goal was to pick a problem, propose a solution, prototype it and take it to market. Some of our notable POC's include efficient improvement of Solar panels using water cooling, earth air tunnel cooling for buildings, smart meters data analysis, load and price forecasting models, optimal economic dispatch","Hyderabad Area, India",Jun 2014,Jul 2016
researchshala.com,Co-Founder,"With an aim to make UG research in India very common, we started with programs/talks/mentorship sessions to allow them to choose research projects as B Tech thesis. We became a platform of extremely passionate UG students and connected them to researchers across the globe.  We succeeded in getting traction but failed in scaling the mode because it was more people-centric. Making it process-centric required huge funds which we could never raise. ","Hyderabad Area, India",Jan 2012,Jun 2014
