names,headline,links,followers,date,num_posts,Average likes per post,Average comments per post,Avg likes per post per followe,Avg likes per post for 10k followers
Amit Somani,"Managing Partner, Prime Venture Partners (Early Stage VC) | LinkedIn TopVoices 2019 & 2018 | Ex-Google, Makemytrip, IBM",https://www.linkedin.com/in/thesomani/,441377,"['1d', '2d', '5d', '6d', '1w', '1w', '1w', '1w', '2w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",47,223.0851064,10.34782609,0.00050543,5.054298398
Dr. Sangita Reddy,"Joint Managing Director, Apollo Hospitals Group",https://www.linkedin.com/in/drsangitareddy/,16636,"['1d', '1d', '3d', '4d', '6d', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '5mo', '2yr']",83,379.9036145,27.24691358,0.022836236,228.3623554
Sandeep Kochhar,Storyteller bleWMinds Consulting. An ant that fails often but never gives up. 130 Million views. 190000 folks trust me.,https://www.linkedin.com/in/sandeepkochhar/,190222,"['6h', '11h', '1d', '2d', '3d', '3d', '4d', '5d', '6d', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",256,973.7539063,114.8789063,0.005119039,51.19039366
Nathan SV,Partner and Chief Talent Officer at Deloitte India,https://www.linkedin.com/in/nathansv/,245575,"['1d', '3d', '4d', '1w', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",107,1317.766355,55.02803738,0.005366044,53.66044407
Shruti Chaturvedi,Founder & Editor at Chaaipani,https://www.linkedin.com/in/shrutii/,18745,"['4h', '1d', '1w', '1w', '1w', '2w', '2w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",51,246.0784314,25.94117647,0.013127684,131.2768372
Anamika Sirohi,Vice President & Head of Marketing 100 Most Influential Marketers 2018,https://www.linkedin.com/in/anamikasirohi/,31855,"['9h', '2d', '3d', '6d', '1w', '1w', '2w', '2w', '2w', '3w', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo']",35,143.6285714,15.25714286,0.004508823,45.08823463
Himanshu Rai,Director at Indian Institute of Management Indore,https://www.linkedin.com/in/himanshu-rai-01b57714/,39076,"['1d', '1d', '2d', '3d', '3d', '4d', '5d', '5d', '6d', '6d', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",266,361.075188,16.91698113,0.009240331,92.40331354
Sayema Rahman,An audio-visual artist/Voice-Over professional (English/Hindi/Urdu)/Master of ceremonies/anchor at selective events.,https://www.linkedin.com/in/sayema-rahman-1420b9101/,9916,"['1d', '1d', '2d', '3d', '6d', '2w', '2w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",62,274.3225806,36,0.027664641,276.6464105
Vandana Sharma,"LinkedIn Top Voice 2019, Woman Icon, Career coach, TEDx Speaker, Military veteran, Entrepreneur, Influencer",https://www.linkedin.com/in/majorvansharma/,31759,"['5h', '1d', '1w', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '6mo']",21,121.2380952,18,0.003817441,38.17440576
Smriti Handa,Regional HR Director at RB | LinkedIn Top Voices 2019,https://www.linkedin.com/in/smriti-handa-0636045/,204693,"['21h', '3w', '5mo']",3,487,26.66666667,0.002379173,23.79172712
Poonam Barua,"CEO WILL Forum India, Founder Chairman Forum for Women in Leadership, Author of the Book, ""Leadership by Proxy""",https://www.linkedin.com/in/poonam-barua-60a76910/,7729,"['1d', '1w', '1w', '1w', '1w', '2w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",52,67.01923077,6.2,0.008671139,86.71138669
Tamal Bandyopadhyay,"Consulting Editor, Business Standard & Senior Adviser, Jana Small Finance Bank",https://www.linkedin.com/in/tamal-bandyopadhyay-818b2b9/,510448,"['3d', '1w', '1w', '1w', '1w', '1w', '1w', '1w', '2w', '2w', '2w', '3w', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",48,300,15.97916667,0.000587719,5.877190233
Shephali Bhatt,Special Correspondent at The Economic Times,https://www.linkedin.com/in/shephali-bhatt-19727915/,9233,"['1d', '4d', '1w', '1mo', '1mo', '1mo', '1mo', '2mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '6mo', '6mo']",19,190.9473684,18.57894737,0.020680967,206.8096701
