Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
17-07-2019 05:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6557125058970644480,"One of the major roadblock for many data science aspirants who take up courses is 'practice' on a data set. ""
""""
""How to create an end to end model / a mock project kind of stuff. ""
""""
""Kaggle and git are good places - but too much of noise. They enhance self learning by practice. But beginners find it hard to understand other's code/approach and most of times it's scattered. ""
""""
""So here is my offering - a data set - completely solved - with code - with output -with explanation of why this approach - all weaved in the form of a fairy tale - a data tale - a story of data -  not to make u sleep but to awaken u !!""
""""
""Who want it ?""
""""
""PS : DON'T share emails here. Type in something. I will PM you. Send connection request if you cannot PM.""
""""
""Update (19/07) : Thank you for response. We will start sending material by today (19/07) evening via your PM. As the response is huge, it might take 1 week till you get. Please be patient.""
""""
""Update (23/07) : We started sending out through PM. As said, you can expect it by this friday (26/07)",,,MEMBER_NETWORK
16-07-2019 06:27,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6556781134624194560,Having a mentor while learning is Supervised Learning !! ,,,MEMBER_NETWORK
15-07-2019 02:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6556363817675264000,"A well spent sunday for me is reading a book.""
""""
""Last evening, I spent 2.5 hours and completed DS/ AI starter hand book by Ankit Rathi""
""""
""After completion of book, I felt like I should do a video review instead of some two line review. ""
""""
""Ankit has taken a lot of pain to keep very good, free resources. He has put both knowledge and wisdom gained from his experience in the book. ""
""""
""A big kudos to him for the attempt. ""
""""
""My review here :",,,MEMBER_NETWORK
12-07-2019 10:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6555386001202741248,"On the occasion of release of the Movie 'Super 30', featuring the story of the man who defined what 'super' is -  Anand Kumar, ""
""""
""Sharing the story, we covered about him long back.""
""""
""https://lnkd.in/ftRtFxN",,,MEMBER_NETWORK
12-07-2019 04:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6555299127503220736,"""
""A harvard's research from 1994 on people who were radically successful found a strange pattern them. Most of the re-worked their habits after life threatening illness or divorce or etc. ""
""""
""If you face extreme calamity in your personal or professional life, work on new habits which will make you again !!. ""
""""
""Take it as an opportunity",,,MEMBER_NETWORK
09-07-2019 05:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6554222530041876480,"I reply to almost all the messages which I receive on LinkedIn. Any questions ?""
""""
""See the chart !!""
""""
""I love analyzing my LinkedIn Data. I downloaded my 14k connections data and shared the 800 companies in India with data science teams""
""""
""I analyzed my LinkedIn comments/likes and found who are more engaging with my posts - the most frequent people.""
""""
""""
""""
""Now I started working on messages too !! More insights on the way !!""
""""
""""
""2018 (08-11) are the periods of deep work when i created NLP 100 hours""
""""
""Ashi Singhal Ruchi Jaju""
""Ankit Rathi Amit Choudhary""
""Sachin",,,MEMBER_NETWORK
08-07-2019 03:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,"My father - who is my inspiration for teaching, always tells me ""
""""
""""The best compliments are the ones given behind your back""""
""""
""One of my student interacted with another mentor and sent me the conversation. ""
""""
""This speaks volumes about ethics of the mentor - while he himself offers courses and could have pitched his course  instead he reassured my work in a private conversation""
""""
""An year of work is bearing the fruits now .",,,MEMBER_NETWORK
08-07-2019 03:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,"My father - who is my inspiration for teaching, always tells me ""
""""
""""The best compliments are the ones given behind your back""""
""""
""One of my student interacted with another mentor and sent me the conversation. ""
""""
""This speaks volumes about ethics of the mentor - while he himself offers courses and could have pitched his course  instead he reassured my work in a private conversation""
""""
""An year of work is bearing the fruits now .",,,MEMBER_NETWORK
08-07-2019 03:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,"My father - who is my inspiration for teaching, always tells me ""
""""
""""The best compliments are the ones given behind your back""""
""""
""One of my student interacted with another mentor and sent me the conversation. ""
""""
""This speaks volumes about ethics of the mentor - while he himself offers courses and could have pitched his course  instead he reassured my work in a private conversation""
""""
""An year of work is bearing the fruits now .",,,MEMBER_NETWORK
08-07-2019 03:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,"My father - who is my inspiration for teaching, always tells me ""
""""
""""The best compliments are the ones given behind your back""""
""""
""One of my student interacted with another mentor and sent me the conversation. ""
""""
""This speaks volumes about ethics of the mentor - while he himself offers courses and could have pitched his course  instead he reassured my work in a private conversation""
""""
""An year of work is bearing the fruits now .",,,MEMBER_NETWORK
07-07-2019 02:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553466504883605504,To the point !!,,,MEMBER_NETWORK
04-07-2019 05:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6552411042381697024,"You are a socialist till you become rich. Then you will become a capitalist""
""""
""Similarly""
""""
""You hate micromanagement till you become a manager. Then, you know... ",,,MEMBER_NETWORK
01-07-2019 05:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6551325206839943168,"And yes, I don't have PhD and I believe I don't need one to teach. I have a different PhD -""
"" ""Passion for holistic Development (PhD) of my learners""""
""""
""Life long learning is the new mantra of success and #deepwork is the key for successful self learning. ""
""""
""So I decided to teach 5 hours of #deepwork in practice as a part of my End to End Data Science Curriculum.""
""""
""When I teach data science, why should I talk about attaining focus ? Because my goal is not completion of course, but to make you an impeccable self learner""
""""
""""
""#deepwork trains the natural neurons in your brain to focus, preserve attention, overcome addiction and enjoy productively.""
""#deeplearning trains the artificial neurons on computer",,,MEMBER_NETWORK
27-06-2019 04:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6549872035160522752,"""Tell me the success of your students so far ?"" was the question from some random person""
""""
""Hence I decided to answer this to everyone. ""
""""
""My I batch student Siddharth Singh didn't have great gpa but he wanted to land in good analytics program. After 1 year of mentoring , he made it one of best in US.""
""""
""Aravind Muktheswaram , a very senior person gave me opportunity to teach me. Today, he is one of best health care analytics professional in Hyderabad""
""""
""A student from III batch , Mohamed Hantirah went on creating his own training academy in his country after I mentored him 1-1. ""
""""
""Shravya Chillamcherla from IV batch made it to prestigious IIT Hyderabad MDS program. Another student from IV batch Sachin Tripathi started his own podcast AI pe Charcha. ""
""""
""Whatever is the goal - MS, M Tech in Data Science , becoming a Data Scientist, AI Entrepreneur , AI trainers or AI for good, my students achieved every single goal.""
""""
""End to End Data Science is NOT one size fits all course you see on Udemy or Coursera !!""
""""
""I don't take credits for their hard work. But definitely without a solid course base and mentoring, it will be difficult to achieve. ""
""""
""A good teacher teaches, ""
""   A better one informs, ""
""     And the best inspires.""
""""
""Interested in #endtoendDS course ? ""
""#datascience #mentoring",,,MEMBER_NETWORK
25-06-2019 06:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6549168346590433280,"One of my NLP 100 hour student's feedback !! ""
""""
""When you have such feedback, its an indication that you are adding value. !! ""
""""
""Six batches of End to End Data Science and not a single penny spent on ads/sales. ""
""""
""I didn't see a point in charging lakhs of rupees and spending 50% of revenue in ads to bluff people that DS is rocket science. ""
""""
"" ""Content at core and mentoring at heart !!"" - this was our guiding principle. ""
""""
""I will continue offering services at affordable pricing. ""
""""
""I don't worry for my need. ""
""I don't care about my greed !! ""
""""
""""
""PS : Next batch of End to End Data Science enrollments are open !!",,,MEMBER_NETWORK
24-06-2019 06:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6548802243649388544,"If you want the reward, not the struggle""
""If you want the result and not the process, ""
""""
""You will never be there !!""
""""
""",,,MEMBER_NETWORK
21-06-2019 13:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6547834462233821184,"""
""When a writer becomes NLP engineer, the quiz prepared will be as follows.""
""""
""Given two sentences below. Choose the one which is result of high bias and the one which is result of high variance.... ""
""""
""1. Awesome dish, awesome sofa, awesome jewel, awesome reply, awesome ambience.. ""
""2. Delicious dish, cosy sofa, glittering jewel, apt reply , profound ambience""
""""
""",,,MEMBER_NETWORK
20-06-2019 05:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6547341269402775553,"For last 3 years, I have been flooded with messages , I have paid so many Lakhs and gained nothing.""
""""
""It was my dream to design an affordable and quality course for people !!""
""""
""Have a look at feedback of my students and tell me if I have made it !! ""
""""
""Interested in our End to End Data Science Course ? Please PM or Comment. ""
""""
""PS : I have reached out to everyone who said interested. Please check inboxes and respond !! ",,,MEMBER_NETWORK
19-06-2019 03:27,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6546951311047389184,"My style of teaching 'normal' distribution !!""
""""
""Stop comparing. Be normal. ""
""""
""When the heart opens, mind learns. !! ""
""""
""Ashi Singhal""
""Ruchi Jaju""
""Ankit Rathi Awantik Das Amit Choudhary Sachin Tripathi ",,,MEMBER_NETWORK
18-06-2019 04:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6546611976464855041,"So when the domain of Data Science is evolving so rapidly, why are buying 'limited' content courses ?""
""""
""And when you know it takes a lot of perseverance and time to become a data scientist, why are you buying limited contact hours with institutes ?""
""""
""These questions bothered me for at least two years and here I present you ""End to End Data Science Course"".""
""""
""I will support you till you become a data scientist.  ""
""""
""I cannot hire husky voice 'counselors' to convince you to pay lakhs of rupees for 'limited' courses. ""
""I am not hiring HR's to get you 100% placement guarantees.""
""""
""As a mentor, I can assure you, as long as you don't give up, I will not give up on your dream. !! ""
""""
""Fair enough ?? Interested in personalized mentor based learning ?",,,MEMBER_NETWORK
