Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2020-01-20 05:28:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6624895143742922752,"Not a single ad kept ""
""Not a single marketing campaign ""
""""
""and we closed enrollments for End to End Data Science Batch 9 almost 20 days ahead of batch start. ""
""""
""The best part being - I kept only one status on LinkedIn this time.""
""""
""Thanks to all my current students whose word of mouth and referral helps me to fill batches and not waste money on marketing and keeping quality education affordable.""
""""
""Quality content and undeterred contentment wins !!""
""""
""PS : People who have inquired can get back to me if you made a decision.",,,MEMBER_NETWORK
2020-01-14 03:59:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6622698390742495233,"I love it when my prospective hires ask questions about business model, stability etc. When you decide to work for startup, even if you are into hardcore tech role, ask about questions which help you understand sustainability of startup ! Always ! ""
""""
""A well funded startup can give you 100% hike even if you don’t deserve it. Don’t consider it as your achievement. Its just that the investor’s purse has loose strings.  The day he decides to tighten, the axe falls on you ! ""
""""
""Not to mention - the trauma you go through when the next job pays you lesser because you are already overpriced or you become vulnerable in market as news of layoffs spread like wild fire""
""""
""Working for ‘Growth at any cost’ startup ?? Keep an eye on all red flags. ""
""""
""Six months emergency fund in your right hand and two offer letters or minimum of updated resume in left hand !! Always !! ""
""""
""#layoffs #oyo #zomato #quikr",,,MEMBER_NETWORK
2020-01-13 06:52:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6622379585969455104,"Genuine reviews , Quality content, continuous improvement and promised attention ! ""
""""
""This is what I offer with End to End Data Science Live classes. Yes, I don’t make a fake promise ! Am happy with small crowd. ""
""""
""My focus on any day is to add ‘value who trusted me. And give best bet for money they paid. ""
""""
""Am really happy that I sticked to this ideology and my students like my teaching. ""
""""
""And last 8 seats in End to End Data science batch 9 starting from Feb 9. Priority to who already reached out !!""
""""
""Thanking my team who has support it everyday ""
""""
""Siddartha R  Ashwini Naidu  Amanjeet Sahu Guru Manikanta Innamuri",,,MEMBER_NETWORK
2020-01-12 04:21:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6621979176595480576,"I have studied at NIT Warangal. A premium institute built with huge tax payers money and I feel it's my moral responsibility to give back. This is one of my motivation for starting SupervisedLearning.com for quality AI education at affordable prices. ""
""""
""Sharing my favorite quote of Swamy Vivekananda on his birth anniversary and also National Youth Day.""
""""
""I will swallow any kind of undermining done to my capabilities in corporate world because I am 'just' a trainer but I will not be a traitor. ""
""""
""A special mention to Deepak Murugaian     who is immensely helping teachers like me to launch their business with very affordable technology""
""""
""Siddartha R Amit Choudhary Srivatsan Srinivasan Ankit Rathi",,,MEMBER_NETWORK
2020-01-07 07:09:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6620209523837767680,"And here are the - Heart warming stories we published at The Positive India ""
""------------------------------""
""""
""BharatMobi,  team of young, innovative engineers decided to take pollution head-on and started working on transforming polluting cars into Electric. Given any car - 1959 Model of 2019 model , they can electrify it. We are glad to cover the story Kudos to Ashhar Ahmed Shaikh ""
""""
""Read more here -  https://lnkd.in/fKrt63b   ""
""""
""-------------------""
""KalaGhar is an effort to revive the art industry in Orissa, Chattisgarh by training and employing hundreds of poor artisans and giving their rightful share. Kudos to Sister duo Megha and Shipra Agarwal ""
""Read more here -  https://lnkd.in/fhg9sMJ""
""""
""------------------""
""On a mission to rejuvenate lakes, @anand is leading a lone battle to transform, purify and revive one lake at a time""
""Read more here - https://lnkd.in/fqAJmB2""
""""
""Pune's Plog Man - @vivek gaurav  has took it into his hands to clean the Pune city which is becoming dirtier everyday due to plastic waste, toxic mindset of people. With his drives, he is cleaning both ! ""
""Read here - https://lnkd.in/f3KsKrq",,,MEMBER_NETWORK
2020-01-02 05:08:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6618367137394323456,"2019 has been a tremendous year for me. ""
""""
""1. From roughly 6k to 31K followers on Li, it's been a great journey. I gave a lot to community and the community reciprocated and I loved the resonance.""
""""
""2. From 1 person to 12 strong team in a year with zero attrition in a boot strapped venture is my career best achievement  ""
""""
""3. Launched NLP 100 hours course first in India - an advanced, niche course. Without doubt, I can vouch NLP 100 hours will be  one of the best available across globe !""
""""
""Many more !! ""
""""
""All these came at tremendous cost ""
""""
""1. Many people who used crooked, unethical means to grab my attention for personal gains.""
""	""
""2. Most underrated risk of Entrepreneurship is lost relations . I have lost 3-4 close relations in my life which I always thought would last forever. ""
""	""
""3. Sleepless nights due to stress, over work and a constant flow of taunts on your tired looks to not watching Netflix""
""	""
""4. It's been 2yrs without a weekend.  Missed many gatherings in family as well as friends trips. ""
""""
""I don't feel proud of success. I feel so proud of my grit which helped me endure all this. And a huge shout out to all my audience whose kind messages I always saved as screenshots to keep me going. !! ""
""""
""2020 - Here I come with a “Fire at will” mode on !!",,,MEMBER_NETWORK
2019-12-30 05:05:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6617279293263306753,"We heard you !! I am launching this 5 HR course for hiring managers recruiting Data Science talent. ""
""""
""A 5 HRs live interactive session to make hiring effective, fool proof to make HR's work more productive. Right talent at right company will lead to better AI penetration - the motto behind this effort.With this course, I aim to solve following issues for HRs""
""""
""> HR managers often need specific 'tech' understanding to gauge the applicant better. The understanding helps which part of JD can be compromised slightly ""
""""
""> Too much of noise is often suggested as problem by HR  has become a night mare in Data Science field. Noise separation in Data Science needs more natural and specific intelligence rather than AI used to scan resumes. ""
""""
""> Hiring for higher experience levels is a bigger nightmare due to lack of solid credibility verification techniques.""
""""
""For the community to succeed in AI race, we cannot ignore the need to strengthen the hiring community as well. As a part of reVision 2020, a tribute to Dr Kalam, we are launching this course for free. ""
""""
""Kindly tag a hiring manager who needs it most. ""
""""
""PS : I aim to make this a community effort. I don't claim that I can solve every problem for HR. But this effort will be a starting point""
""""
""Srivatsan Srinivasan  Ankit Rathi  Amit Choudhary",,,MEMBER_NETWORK
2019-12-29 10:00:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6616991111732924417,"Linkedin Stupidity has no bounds. So sorry to make this statement. ""
""""
""A few hours ago Srivatsan Srinivasan wrote a pun / sarcastic post indicating that people mindlessly write 'Interested' and he used the same text which is used in the prank posts which are engineered to garner attention. His point was that Linkedin should penalize them and have better influence propagation algorithms  ""
""""
""And out of 152 comments - 115 wrote ""interested' without reading whole post. That's a staggering 75%. So I decided to make the statement - ""Human stupidity has no bounds !"" or are we too distracted""
""""
""Link to original post - https://lnkd.in/f3rENJG",,,MEMBER_NETWORK
2019-12-27 05:08:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6616192811710672896,"And finally announcing it  - my upcoming book. A genre which has been never explored and much needed !! ""
""""
""I have seen tons try and only hundreds succeed and the distinguishing factor to make a transition into Data Science and survive there on is - ""Right Habits - specifically for Data Science""""
""""
""I will be interviewing, analyzing real achievers - big and small in this very domain of DS and AI - their habits, their success , their failures and how they overcame etc. I will be going through video interviews and works of people whom I cannot reach. I will be talking to many students well. Will be utilizing gyaan of a lot of 'real' productive books as well. ""
""""
""In short, I would like to take this as a 'yagna'. And the good part - I would like to share progress over blogs and videos for free. ""
""""
""Expected Release : October 15 2020. ""
""""
""PS :  This is not a resolution. This is a promise !! And for those who think - it's another catchy title - Let it be. Am on a mission to make more people data savy in this country !!""
""""
""""
""Please ping or comment if you would like to contribute in anyway""
""""
""Seeking your continuous inputs in this Srivatsan Srinivasan  , Ankit Rathi  Amit Choudhary Preksha Kaparwan Bhavesh Bhatt",,,MEMBER_NETWORK
2019-12-26 06:01:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6615843958780198912,"Hey Linkedin folks ""
""""
""   My first video for you guys !! As a part of our ReVision 2020 series - am launching my videos as well. Starting on Linkedin and then on youtube as well !! ""
""""
""  Special thanks Siddartha Rayapudi for helping and pushing me to come live !!""
""""
""Srivatsan Srinivasan  gurji.. you are the inspiration behind me coming in front of camera. Awaiting your views.",,,MEMBER_NETWORK
