Post_links,Content,Likes_count
https://www.linkedin.com/feed/update/urn:li:activity:6572320569646256128/,"Companies not hiring freshers in DS - Why ?

People curse companies for not hiring freshers. Here is an an interesting perspective of small teams who are kicking off AI - 

Investments are little and brittle mostly. Hence, there is no space to train people to become 'real data scientists'. 

Education from most institutes is too shallow. Most of aspirants are in 5-10 lpa and they spend 2-3 lakhs on  institute which tell them your pay will be 2.5X after course. 

After the course, aspirants expect min of 1.5X . For a company, it is ridiculous to pay 10 lpa for 0 exp

In case, he is open for training, the company might ask to take a cut and prove and then talk 2X. I saw many people who excelled after they took a pay cut and proved themselves. 

So, it all boils down to economics rather than experience. This may not be true in MNC's which are cash rich. I align with pain of many aspirants like you. 

But the same is the pain for startups (includes small AI teams in huge MNC's) who hire data scientists and couldn't deliver results and are under heavy pressure. 

PS : This post isn't blaming some one on higher pay demands . It's a reality -  lot of people have to wake up to - before investing 2-3 lakhs in expectation of 2x-3x hikes. ",663
https://www.linkedin.com/feed/update/urn:li:activity:6570900853736210432/,"A Data Scientist without creativity is unquenchable. 
A data scientist with creativity is unstoppable. 

The reason is -  if a Data Scientist doesn't have a creative mind, at every problem he asks others/google those questions or ideas to tackle those problems. So his questions cannot be quenched.Hence unquenchable

The DS with creativity doesn't have time to execute all his ideas on feature engineering. So even at 10 PM on Sunday night, he keeps working on models/insights. 
Hence unstoppable


I wrote this as comment on ",492
https://www.linkedin.com/feed/update/urn:li:activity:6570536518253936641/,The first set of Self help AI /DS handbooks by ,155
https://www.linkedin.com/feed/update/urn:li:activity:6569974617128169472/,,No Likes
